HomeTeam,AwayTeam,Max,Min,Wind,Rain,Humidity,Cloud,FTR
Liverpool,Tottenham,8,8,29,1.8,0.81,0.64,1
ManU,Everton,12,4,14,2.2,0.86,0.77,2
Tottenham,ManU,11,3,22,0.2,0.72,0.29,2
Chelsea,ManC,13,5,12,0.9,0.78,0.6,0
Liverpool,Everton,9,8,20,0.1,0.81,0.49,2
Chelsea,Tottenham,15,8,25,0.5,0.88,0.84,1
ManC,Arsenal,22,9,22,0.8,0.73,0.34,1
Liverpool,Chelsea,12,12,25,0.2,0.87,0.39,1
Everton,Tottenham,17,17,27,0.0,0.8300000000000001,0.53,1
Arsenal,Liverpool,21,14,9,0.0,0.6900000000000001,0.31,0
Tottenham,Liverpool,23,16,14,15.6,0.78,0.28,1
ManU,ManC,17,9,9,2.4,0.8200000000000001,0.38,0
Chelsea,Liverpool,17,13,19,7.3,0.85,0.8300000000000001,0
Arsenal,Chelsea,22,11,20,0.0,0.7000000000000001,0.23,2
Tottenham,ManC,16,8,15,0.5,0.8,0.3,2
ManC,Everton,13,6,13,0.3,0.87,0.68,1
Liverpool,ManU,15,14,29,2.5,0.79,0.17,1
Chelsea,ManU,13,6,17,0.0,0.81,0.4,2
Chelsea,Everton,8,3,18,0.0,0.8300000000000001,0.43,2
Arsenal,Tottenham,7,1,21,0.9,0.79,0.47000000000000003,1
ManU,Arsenal,5,0,13,3.1,0.9,0.38,1
Chelsea,Tottenham,9,4,13,0.0,0.89,0.18,2
ManC,Chelsea,5,1,10,0.0,0.91,0.4,0
Everton,ManU,8,7,23,0.0,0.68,0.22,1
ManU,Tottenham,9,6,18,0.5,0.93,0.9500000000000001,2
Everton,Arsenal,10,9,24,2.4,0.93,0.8300000000000001,2
ManC,Arsenal,6,1,6,0.0,0.92,0.56,2
Everton,Liverpool,9,8,14,0.3,0.8200000000000001,0.9400000000000001,0
Liverpool,ManC,9,8,35,0.0,0.91,0.54,2
Tottenham,Chelsea,6,2,18,0.0,0.9,0.42,2
Everton,ManC,6,5,18,3.1,0.74,0.96,2
ManU,Liverpool,8,3,18,8.8,0.97,1.0,1
ManC,Tottenham,5,1,12,0.1,0.89,0.45,1
Liverpool,Chelsea,6,6,33,0.4,0.81,0.6900000000000001,1
Chelsea,Arsenal,9,4,10,5.2,0.9,0.49,2
Liverpool,Tottenham,5,3,31,1.0,0.77,1.0,2
Liverpool,Arsenal,8,7,21,1.9,0.92,0.61,2
Tottenham,Everton,9,4,25,8.5,0.84,0.72,2
ManC,Liverpool,12,9,25,8.0,0.93,0.99,1
Liverpool,Everton,10,9,24,0.0,0.86,0.46,2
Arsenal,ManC,15,5,9,0.2,0.8200000000000001,0.21,1
ManU,Everton,12,5,15,0.1,0.87,0.5700000000000001,1
Chelsea,ManC,12,5,13,0.1,0.8300000000000001,0.61,2
ManU,Chelsea,10,2,15,6.2,0.89,0.93,2
ManC,ManU,10,0,16,3.3,0.86,0.81,1
Everton,Chelsea,11,9,41,0.0,0.77,0.38,0
Tottenham,Arsenal,15,8,24,0.7,0.77,0.61,2
Arsenal,ManU,15,5,12,0.2,0.84,0.64,2
Tottenham,ManU,16,10,16,2.4,0.8,0.42,2
Arsenal,Everton,19,7,12,0.0,0.8200000000000001,0.26,2
Tottenham,Chelsea,19,13,13,6.4,0.7000000000000001,0.47000000000000003,0
ManC,Everton,18,13,9,1.3,0.86,0.77,1
Chelsea,Everton,28,18,6,0.0,0.54,0.19,2
Liverpool,Arsenal,16,16,12,0.0,0.79,0.23,2
Everton,Tottenham,15,14,18,1.6,0.74,0.51,0
ManC,Liverpool,16,12,14,13.6,0.79,0.64,2
Chelsea,Arsenal,17,10,7,0.5,0.72,0.62,1
ManU,Everton,16,8,10,5.4,0.8200000000000001,0.46,2
Chelsea,ManC,18,13,13,1.5,0.66,0.58,0
Liverpool,ManU,17,15,31,0.0,0.89,0.23,1
Everton,Arsenal,13,12,51,11.4,0.78,0.89,0
Tottenham,Liverpool,13,10,25,1.1,0.66,0.5700000000000001,2
ManU,Tottenham,13,8,27,3.0,0.91,0.93,2
Chelsea,ManU,10,7,15,0.0,0.67,0.22,2
ManC,Arsenal,9,6,10,0.5,0.73,0.29,2
Arsenal,Tottenham,8,5,11,6.5,0.8300000000000001,0.61,2
Liverpool,Chelsea,7,7,35,2.4,0.71,0.49,1
Arsenal,ManU,6,3,8,0.3,0.79,0.86,0
Liverpool,Everton,6,4,23,6.0,0.76,0.8200000000000001,1
ManU,ManC,1,-1,11,1.0,0.86,0.58,0
ManC,Tottenham,4,1,5,1.4,0.81,0.33,2
Arsenal,Liverpool,11,8,5,0.0,0.9500000000000001,0.74,1
Everton,Chelsea,9,8,38,0.0,0.92,0.39,1
Everton,ManU,8,7,40,0.5,0.78,0.46,0
Arsenal,Chelsea,10,8,31,2.6,0.6,0.44,1
Tottenham,Everton,7,5,13,0.1,0.81,0.92,2
Liverpool,ManC,6,5,27,0.4,0.8,0.96,2
Tottenham,ManU,8,4,25,3.7,0.72,0.6,2
Arsenal,Everton,5,3,6,3.1,0.79,0.8300000000000001,2
Liverpool,Tottenham,5,3,34,2.2,0.7000000000000001,0.92,1
Tottenham,Arsenal,8,1,19,5.8,0.8200000000000001,0.66,2
ManU,Chelsea,5,-1,17,0.0,0.64,0.06,2
Arsenal,ManC,-1,-4,26,4.0,0.75,1.0,0
ManC,Chelsea,5,0,15,1.7,0.92,0.98,2
ManU,Liverpool,11,5,14,16.3,0.92,0.86,2
Everton,ManC,6,5,19,1.0,0.91,0.65,0
Chelsea,Tottenham,8,4,9,0.2,0.6900000000000001,0.8300000000000001,0
Everton,Liverpool,8,7,27,0.0,0.85,0.37,1
ManC,ManU,9,7,8,1.5,0.91,0.89,0
Tottenham,ManC,17,8,7,1.1,0.75,0.3,0
ManU,Arsenal,11,3,15,0.3,0.7000000000000001,0.32,2
Chelsea,Liverpool,28,15,7,0.0,0.51,0.0,2
Arsenal,ManC,20,18,15,5.7,0.72,0.74,0
Chelsea,Arsenal,22,16,14,0.2,0.71,0.81,2
ManU,Tottenham,15,12,19,2.9,0.8200000000000001,0.8300000000000001,0
Tottenham,Liverpool,20,12,11,0.0,0.6900000000000001,0.39,0
Arsenal,Everton,14,10,15,18.7,0.7000000000000001,0.62,2
Chelsea,Liverpool,18,12,5,0.0,0.58,0.1,1
Liverpool,ManC,13,12,21,0.1,0.65,0.28,1
Chelsea,ManU,19,11,4,0.0,0.68,0.4,1
ManU,Everton,9,4,14,0.0,0.71,0.04,2
Tottenham,ManC,9,5,16,0.0,0.65,0.2,0
Arsenal,Liverpool,12,7,15,0.0,0.68,0.35000000000000003,1
Chelsea,Everton,14,11,16,6.1,0.72,0.37,1
ManC,ManU,11,7,16,1.1,0.85,0.58,2
Tottenham,Chelsea,9,7,14,1.1,0.87,0.86,2
Arsenal,Tottenham,15,12,20,3.1,0.84,0.92,2
Liverpool,Everton,12,10,33,0.5,0.91,0.91,2
ManU,Arsenal,9,4,13,16.0,0.92,0.92,1
Chelsea,ManC,12,9,27,1.2,0.68,0.58,2
ManC,Everton,5,1,32,3.1,0.76,0.8,2
Liverpool,ManU,8,7,30,10.1,0.8300000000000001,0.42,2
Everton,Tottenham,9,7,20,10.4,0.87,0.8300000000000001,0
Liverpool,Arsenal,10,9,38,0.0,0.88,0.64,2
ManC,Liverpool,4,1,3,0.0,0.8200000000000001,0.09,2
Tottenham,ManU,11,9,25,0.2,0.77,0.91,0
Arsenal,Chelsea,5,4,15,0.1,0.74,0.79,2
ManC,Arsenal,4,-1,11,1.2,0.8300000000000001,0.65,2
Everton,ManC,8,7,29,0.3,0.89,0.6900000000000001,0
ManC,Chelsea,6,4,13,2.0,0.8200000000000001,0.8300000000000001,2
ManU,Liverpool,15,8,7,0.0,0.84,0.31,1
Chelsea,Tottenham,20,12,6,0.0,0.67,0.01,2
Tottenham,Arsenal,13,8,20,0.5,0.81,0.86,1
Everton,Liverpool,9,7,39,5.5,0.84,0.78,1
Arsenal,ManU,11,6,29,7.1,0.64,0.73,2
Everton,Chelsea,7,6,43,1.7,0.74,0.54,2
Liverpool,Tottenham,7,6,27,0.0,0.76,0.14,2
Everton,Arsenal,10,8,20,0.0,0.87,0.19,2
Liverpool,Chelsea,6,6,30,1.0,0.6900000000000001,0.38,2
ManC,Tottenham,23,10,6,0.0,0.49,0.06,2
Everton,ManU,11,10,16,0.0,0.6900000000000001,0.0,2
ManU,ManC,19,8,20,2.7,0.76,0.65,0
ManU,Chelsea,13,7,13,1.7,0.8,0.59,1
Tottenham,Everton,16,8,8,0.0,0.62,0.25,1
