HomeTeam,AwayTeam,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
Chelsea,ManU,0,1,2,0,14,15,11,7,13,11,8,6,2,2,2,0
Everton,Liverpool,1,2,2,1,17,12,8,5,16,18,9,5,4,3,0,0
ManU,Arsenal,2,1,0,2,11,7,7,3,13,13,6,1,5,3,0,1
Chelsea,Liverpool,1,1,0,2,12,9,3,5,12,13,4,7,1,3,0,0
ManC,Tottenham,2,0,1,0,16,6,8,2,16,7,8,2,1,2,0,0
Arsenal,Tottenham,2,3,1,2,13,6,10,4,13,12,6,6,1,2,0,1
Chelsea,ManC,1,0,0,1,5,11,1,7,9,16,6,11,0,3,0,0
Everton,Arsenal,1,1,1,1,14,12,10,9,15,9,6,6,2,1,0,0
Tottenham,Liverpool,2,2,0,2,14,14,7,9,4,14,1,12,1,2,0,0
ManC,Everton,1,1,1,1,9,8,6,5,16,12,5,2,2,1,0,0
Everton,Tottenham,2,0,0,1,17,8,11,6,10,9,4,4,2,2,0,0
ManC,ManU,0,0,2,0,16,8,11,3,11,9,8,2,4,3,0,0
Everton,Chelsea,0,1,1,1,12,15,6,10,14,12,7,7,2,3,0,0
Arsenal,ManC,0,0,2,0,9,16,4,9,11,18,2,7,2,4,1,1
ManU,Liverpool,2,1,0,2,15,12,10,5,14,16,3,1,1,4,0,0
Chelsea,Arsenal,2,2,0,2,13,12,8,8,10,11,3,9,2,1,0,0
Tottenham,ManU,1,0,1,0,23,6,18,4,7,14,9,4,1,4,0,0
Arsenal,Liverpool,1,0,1,0,14,10,6,5,9,11,8,6,3,1,0,0
ManC,Liverpool,1,1,1,1,9,21,5,12,14,7,9,10,2,4,0,0
ManU,Everton,2,2,0,2,10,9,6,8,12,9,7,6,0,2,0,0
ManC,Chelsea,2,0,0,1,15,4,11,1,19,5,6,6,3,1,0,0
Tottenham,Arsenal,2,2,0,2,11,10,5,6,17,13,4,6,3,1,0,0
Liverpool,Tottenham,2,1,1,1,10,15,4,9,9,8,1,4,1,1,0,0
Everton,ManC,2,1,0,2,11,17,5,11,15,10,13,6,4,3,1,0
Tottenham,Everton,1,1,1,1,19,9,10,5,14,8,7,6,1,1,0,0
ManU,ManC,0,0,0,1,16,9,7,5,13,18,9,4,3,5,0,0
Arsenal,Everton,1,0,0,1,10,10,6,5,11,12,8,1,2,3,0,0
Liverpool,Chelsea,1,0,1,0,23,9,12,6,8,11,8,5,5,2,0,0
Tottenham,ManC,2,0,1,0,11,11,8,7,11,10,4,5,3,3,0,0
Arsenal,ManU,1,1,1,1,19,10,13,5,12,10,7,2,3,5,0,0
Liverpool,Everton,1,0,0,1,16,11,8,4,10,10,3,5,1,2,0,0
ManU,Chelsea,0,0,0,1,10,15,4,6,14,9,2,7,2,1,1,0
Chelsea,Tottenham,1,2,1,2,15,13,8,6,6,16,6,5,1,2,0,0
Chelsea,Everton,2,1,1,1,20,16,10,9,7,8,7,4,2,2,0,0
ManU,Chelsea,1,0,0,1,13,8,3,4,9,9,4,1,0,2,0,0
Arsenal,Tottenham,2,1,0,2,12,14,5,4,15,14,3,6,2,2,0,0
Liverpool,ManU,2,1,0,2,10,10,5,4,15,15,2,7,2,4,0,0
Everton,Chelsea,2,1,0,2,11,22,5,5,10,12,5,7,0,4,0,0
ManC,ManU,2,2,0,2,18,14,5,3,8,12,8,4,1,2,0,0
Tottenham,Chelsea,1,1,0,2,12,11,4,5,14,14,4,5,5,1,0,1
ManC,Everton,2,2,1,2,12,6,6,4,15,10,8,1,5,4,0,0
Chelsea,ManC,2,1,0,2,12,15,4,6,11,15,3,6,2,3,0,0
Arsenal,Liverpool,2,1,0,2,12,12,7,4,11,7,3,5,2,1,0,0
Everton,Tottenham,1,0,0,1,8,16,1,6,11,9,7,4,4,1,0,0
ManU,Arsenal,2,1,0,2,5,10,2,2,12,11,5,6,2,3,0,0
Everton,Liverpool,1,1,2,0,18,11,12,5,16,15,6,7,4,3,0,0
ManC,Tottenham,2,3,0,2,15,13,10,5,7,11,4,7,1,3,0,0
Tottenham,ManU,1,1,1,1,10,8,4,3,9,15,7,7,1,3,0,0
ManU,Everton,0,0,0,1,18,15,6,4,12,12,7,4,2,0,0,0
Arsenal,Everton,1,0,0,1,11,12,5,4,13,11,3,2,0,4,0,0
ManC,Arsenal,2,2,1,2,22,12,7,6,12,6,8,8,2,1,0,0
Tottenham,Liverpool,0,0,2,0,9,21,0,10,17,15,2,9,3,0,1,0
Arsenal,Chelsea,1,0,0,1,7,13,2,4,7,11,8,6,2,1,0,0
